Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Owned By,Owned By,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
114041365,feature of create user story,test,1,2/10/16,3/2/16,feature,2,accepted,18-Feb-16,14-Mar-16,2-Mar-16,Rui,"project owner can create&edit&delete user story in ice_box & iteration.developer can create&edit&delete user story in ice_box & iteration.client can view the user story in ice_box & iteration.",https://www.pivotaltracker.com/story/show/114041365,divyam,aalva,Rui,write unit test program to check whether the function of create&edit&delete works.,completed,write unit test program to check whether three roles have different authority.,completed,,,,
114145379,test project_api,test,1,2/10/16,3/2/16,feature,2,accepted,20-Feb-16,14-Mar-16,2-Mar-16,Rui,,https://www.pivotaltracker.com/story/show/114145379,yangrr,rex,Rui,,,,,,,,
114041419,feature of create user story,test,1,2/10/16,3/2/16,feature,2,accepted,18-Feb-16,14-Mar-16,2-Mar-16,Rui,"project owner can create&edit&delete user story in ice_box & iteration.developer can create&edit&delete user story in ice_box & iteration.client can view the user story in ice_box & iteration.",https://www.pivotaltracker.com/story/show/114041419,Nora Salamah,zhidou,Rui,write selenium test program to check whether the function of create&edit&delete works.,completed,write selenium test program to check whether three roles have different authority.,completed,,,,
118851329,run selenium test,test,1,2/10/16,3/2/16,feature,2,accepted,3-Feb-16,3-May-16,2-Mar-16,Rui,run the selenium test and try to find bugs in current system.,https://www.pivotaltracker.com/story/show/118851329,minteng,Rui,,run UI/project and iteration,completed,"If selenium test fail, fix the error.",completed,Analysis the requirement for current system.,completed,,
113317123,Role assignment,new features,2,3/3/16,3/27/16,feature,3,accepted,8-Feb-16,14-Mar-16,27-Mar-16,Nora Salamah,As an admin I want to be able to assign various roles for different users so that they can access the website based on their role.,https://www.pivotaltracker.com/story/show/113317123,divyam,,,Test roles & access rights for each. ,completed,Create new roles or update existing roles,completed,,,,
114453665,Iteration not present Error,,2,3/3/16,3/27/16,feature,2,accepted,25-Feb-16,31-Mar-16,27-Mar-16,aalva,As a Project Owner/ Developer when I try to move a user story to an iteration when there are no iterations I want to see an appropriate error message telling me that currently there are no iterations so that I can take appropriate action. ,https://www.pivotaltracker.com/story/show/114453665,aalva,divyam,,Develop the UI and the logic for the feature of the user story (12 hours),completed,Test the user story by writing UI test  ,completed,,,,
115637149,no duplicate project name,,2,3/3/16,3/27/16,feature,3,accepted,14-Mar-16,6-Apr-16,27-Mar-16,Rui,"as a project manager, he can not create a project with a duplicate name.",https://www.pivotaltracker.com/story/show/115637149,Rui,minteng,,A specific manager can not create duplicate project name.,not completed,"For different managers, they possibly have same project name.",not completed,,,,
116417661,changing confirm email,new features,2,3/3/16,3/27/16,feature,3,accepted,27-Mar-16,11-Apr-16,27-Mar-16,zhidou,"When the password of user is changed, the user will receive a email from the system to confirm this action. And When the Admin change the information of a user, the system also send email to user.",https://www.pivotaltracker.com/story/show/116417661,zhidou,Nora Salamah,,,,,,,,,
115699921,Constraint on begin time and Deadline ,,2,3/3/16,3/27/16,bug,2,accepted,15-Mar-16,21-Apr-16,27-Mar-16,zhidou,add constraint of the begin time and deadline to make the begin time cannot earlier than the current time and deadline cannot earlier than begin time. And also set limitation on hour of user story,https://www.pivotaltracker.com/story/show/115699921,zhidou,Nora Salamah,Rui,,,,,,,,
115640847,DataBase Issue,"fix feature, new features",2,3/3/16,3/27/16,feature,3,accepted,14-Mar-16,27-Apr-16,27-Mar-16,rex,"Database immigration and configuration. Immigrate SQLite to MySQL. And accomplish sign up and sign in functions.  (If we have time, we could finish the data visualization part.)",https://www.pivotaltracker.com/story/show/115640847,yangrr,rex,Rui,rebuild database model,not completed,Visualization,not completed,,,,
